fen,b_or_w,stck_move,stck_eval,my_move,my_eval,diff_eval,counter
r2qkb1r/ppp1pppp/n4n2/1N1p1b2/3P1B2/4P3/PPP2PPP/R2QKBNR,b,c7c6,-27.0,c7c6,0.0,27.0,1
rn1qkb1r/ppp1pppp/5n2/3p1b2/3P1B2/2N5/PPP1PPPP/R2QKBNR,w,g1f3,10.0,c3b5,-5.0,15.0,1
rn1qkb1r/ppp1pppp/5n2/1N1p1b2/3P1B2/8/PPP1PPPP/R2QKBNR,b,b8a6,-5.0,b8a6,-6.0,-1.0,1
r2qkb1r/pp3ppp/n1p1pn2/3p1b2/3P1B2/2N1PN2/PPP2PPP/R2QKB1R,b,a6b4,0.0,f8d6,64.0,64.0,1
r2qk2r/pp3ppp/n1pbpn2/3p1b2/3P1B2/2N1PN2/PPP2PPP/R2QKB1R,w,f4d6,64.0,f4d6,56.0,8.0,1
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR,w,c1f4,-17.0,c1f4,-15.0,-2.0,1
r2qkb1r/ppp1pppp/n4n2/1N1p1b2/3P1B2/8/PPP1PPPP/R2QKBNR,w,a2a3,-6.0,e2e3,-27.0,21.0,1
r2qkb1r/pp3ppp/n1p1pn2/3p1b2/3P1B2/2N1P3/PPP2PPP/R2QKBNR,w,a2a3,-10.0,g1f3,0.0,-10.0,1
r2qkb1r/pp2pppp/n1p2n2/3p1b2/3P1B2/2N1P3/PPP2PPP/R2QKBNR,b,d8b6,0.0,e7e6,-10.0,-10.0,1
rnbqkbnr/ppp1pppp/8/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR,b,c8f5,-4.0,g8f6,-17.0,-13.0,1
rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/2N5/PPP1PPPP/R2QKBNR,b,c8f5,-15.0,c8f5,10.0,25.0,1
r2qkb1r/pp2pppp/n1p2n2/1N1p1b2/3P1B2/4P3/PPP2PPP/R2QKBNR,w,b5c3,0.0,b5c3,0.0,0.0,1
r2qk2r/pp3ppp/n1pBpn2/3p1b2/3P4/2N1PN2/PPP2PPP/R2QKB1R,b,d8d6,56.0,d8d6,53.0,-3.0,1
