r1bqkbnr/ppp1pppp/2n5/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R,b,3,g8f6,31,g8f6,46
r1bqkb1r/ppp1pppp/2n2n2/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R,w,4,e2e3,46,e2e3,36
r1bqkb1r/ppp1pppp/2n2n2/3p4/3P1B2/4PN2/PPP2PPP/RN1QKB1R,b,4,f6h5,36,e7e6,60
r1bqkb1r/ppp2ppp/2n1pn2/3p4/3P1B2/4PN2/PPP2PPP/RN1QKB1R,w,5,c2c4,60,f1b5,17
r1bqkb1r/ppp2ppp/2n1pn2/1B1p4/3P1B2/4PN2/PPP2PPP/RN1QK2R,b,5,f8d6,17,c8d7,63
r2qkb1r/pppb1ppp/2n1pn2/1B1p4/3P1B2/4PN2/PPP2PPP/RN1QK2R,w,6,c2c3,63,b1c3,26
r2qkb1r/pppb1ppp/2n1pn2/1B1p4/3P1B2/2N1PN2/PPP2PPP/R2QK2R,b,6,a7a6,26,a7a6,18
r2qkb1r/1ppb1ppp/p1n1pn2/1B1p4/3P1B2/2N1PN2/PPP2PPP/R2QK2R,w,7,b5d3,18,b5a4,-34
r2qkb1r/1ppb1ppp/p1n1pn2/3p4/B2P1B2/2N1PN2/PPP2PPP/R2QK2R,b,7,b7b5,-34,b7b5,-18
r2qkb1r/2pb1ppp/p1n1pn2/1p1p4/B2P1B2/2N1PN2/PPP2PPP/R2QK2R,w,8,a4b3,-18,a4b3,-36
r2qkb1r/2pb1ppp/p1n1pn2/1p1p4/3P1B2/1BN1PN2/PPP2PPP/R2QK2R,b,8,f8b4,-36,c6a5,-25
r2qkb1r/2pb1ppp/p3pn2/np1p4/3P1B2/1BN1PN2/PPP2PPP/R2QK2R,w,9,c3e2,-25,c3e2,-29
r2qkb1r/2pb1ppp/p3pn2/np1p4/3P1B2/1B2PN2/PPP1NPPP/R2QK2R,b,9,c7c5,-29,a5b3,-2
r2qkb1r/2pb1ppp/p3pn2/1p1p4/3P1B2/1n2PN2/PPP1NPPP/R2QK2R,w,10,a2b3,-2,c2b3,-18
r2qkb1r/2pb1ppp/p3pn2/1p1p4/3P1B2/1P2PN2/PP2NPPP/R2QK2R,b,10,c7c5,-18,f6e4,28
r2qkb1r/2pb1ppp/p3p3/1p1p4/3PnB2/1P2PN2/PP2NPPP/R2QK2R,w,11,e1g1,28,e2c3,-20
r2qkb1r/2pb1ppp/p3p3/1p1p4/3PnB2/1PN1PN2/PP3PPP/R2QK2R,b,11,f8d6,-20,f8b4,16
r2qk2r/2pb1ppp/p3p3/1p1p4/1b1PnB2/1PN1PN2/PP3PPP/R2QK2R,w,12,a2a3,16,e1g1,-102
r2qk2r/2pb1ppp/p3p3/1p1p4/1b1PnB2/1PN1PN2/PP3PPP/R2Q1RK1,b,12,e4c3,-102,e4c3,-72
r2qk2r/2pb1ppp/p3p3/1p1p4/1b1P1B2/1Pn1PN2/PP3PPP/R2Q1RK1,w,13,b2c3,-72,b2c3,-112
r2qk2r/2pb1ppp/p3p3/1p1p4/1b1P1B2/1PP1PN2/P4PPP/R2Q1RK1,b,13,b4c3,-112,b4c3,-113
r2qk2r/2pb1ppp/p3p3/1p1p4/3P1B2/1Pb1PN2/P4PPP/R2Q1RK1,w,14,a1c1,-113,a1c1,-123
r2qk2r/2pb1ppp/p3p3/1p1p4/3P1B2/1Pb1PN2/P4PPP/2RQ1RK1,b,14,b5b4,-123,c3b4,86
r2qk2r/2pb1ppp/p3p3/1p1p4/1b1P1B2/1P2PN2/P4PPP/2RQ1RK1,w,15,c1c7,86,d1d3,-55
r2qk2r/2pb1ppp/p3p3/1p1p4/1b1P1B2/1P1QPN2/P4PPP/2R2RK1,b,15,a8c8,-55,a8c8,-36
2rqk2r/2pb1ppp/p3p3/1p1p4/1b1P1B2/1P1QPN2/P4PPP/2R2RK1,w,16,f3e1,-36,c1a1,-153
